year,breakdown_id,run_type,bus_no,route,reason,occurred_on_yr,occurred_on_month,occurred_on_day,occurred_on_time,created_on,boro,company,delay_est,passengers,schools_notified,parents_notified,opt_notified,opt_notified_on,updated_on,breakdown,school_age
2018,1456303,Pre-K/EI,2630,ER,Heavy Traffic,2018,9,4,7:13:00,20180904,Bronx,SELBY TRANSPORTATION,61-90 Min,0,Yes,No,No,2018-09-04T07:14:00.000,1900-01-01T00:00:00.000,FALSE,Pre-K
2018,1456346,Special Ed AM Run,44291,K887,Mechanical Problem,2018,9,4,7:40:00,20180904,Brooklyn,"BORO TRANSIT, INC.",16-30 Min,0,Yes,Yes,No,2018-09-04T07:48:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471198,Special Ed AM Run,804,K546,Accident,2018,10,15,6:19:00,20181015,Brooklyn,Y & M TRANSIT CORP (B2192),31-45 Min,0,No,No,No,2018-10-15T06:34:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471203,General Ed AM Run,479,R1097,Heavy Traffic,2018,10,15,6:35:00,20181015,Staten Island,PIONEER TRANSPORTATION CORP,31-45 Min,0,Yes,No,No,2018-10-15T06:36:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471210,Special Ed AM Run,1413,M676,Heavy Traffic,2018,10,15,6:36:00,20181015,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-15T06:36:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471216,Special Ed AM Run,41103,K301,Other,2018,10,15,6:30:00,20181015,Brooklyn,EMPIRE CHARTER SERVICE INC,31-45 Min,1,Yes,Yes,No,2018-10-15T06:38:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471220,Special Ed AM Run,1376,M614,Heavy Traffic,2018,10,15,6:38:00,20181015,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-15T06:39:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471244,General Ed AM Run,0,K1533,Heavy Traffic,2018,10,15,6:40:00,20181015,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,0-15 Min,0,No,No,No,2018-10-15T06:44:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1463347,Pre-K/EI,2712,CK/GB5,Heavy Traffic,2018,9,25,7:18:00,20180925,Bronx,SELBY TRANSPORTATION,61-90 Min,2,Yes,Yes,No,2018-09-25T07:19:00.000,1900-01-01T00:00:00.000,FALSE,Pre-K
2018,1471268,Special Ed AM Run,5551D,X521,Heavy Traffic,2018,10,15,6:48:00,20181015,Bronx,LITTLE RICHIE BUS SERVICE,16-30 Min,0,Yes,Yes,No,2018-10-15T06:49:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471286,Special Ed AM Run,1260,M797,Heavy Traffic,2018,10,15,6:52:00,20181015,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-15T06:53:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471562,Special Ed AM Run,829D,Q384,Mechanical Problem,2018,10,15,7:00:00,20181015,Queens,"LORINDA ENTERPRISES, LTD.",,0,Yes,Yes,No,2018-10-15T07:54:00.000,1900-01-01T00:00:00.000,TRUE,School-Age
2018,1471575,Pre-K/EI,9314,2,Heavy Traffic,2018,10,15,7:55:00,20181015,Bronx,"G.V.C., LTD.",16-30 Min,8,Yes,Yes,No,2018-10-15T07:57:00.000,1900-01-01T00:00:00.000,FALSE,Pre-K
2018,1471599,Special Ed AM Run,2632,M279,Heavy Traffic,2018,10,15,8:04:00,20181015,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,6,Yes,Yes,Yes,2018-10-15T08:06:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471604,Special Ed AM Run,1800,L016,Heavy Traffic,2018,10,15,8:06:00,20181015,Brooklyn,B & F SKILLED INC.(B2192),0-15 Min,3,Yes,Yes,No,2018-10-15T08:08:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471620,Special Ed AM Run,1376,N026,Heavy Traffic,2018,10,15,8:15:00,20181015,Nassau County,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-15T08:18:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471636,Special Ed AM Run,4567,L633,Other,2018,10,15,8:32:00,20181015,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,10,Yes,Yes,Yes,2018-10-15T08:33:00.000,2019-04-26T11:49:11.000,FALSE,School-Age
2018,1471660,Special Ed PM Run,1432,M987,Heavy Traffic,2018,10,15,13:17:00,20181015,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-15T13:18:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471838,Special Ed AM Run,1803,M049,Heavy Traffic,2018,10,16,6:01:00,20181016,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-16T06:02:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471854,Special Ed AM Run,1212,K570,Heavy Traffic,2018,10,16,6:06:00,20181016,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2018-10-16T06:08:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471861,Special Ed AM Run,3634,M143,Heavy Traffic,2018,10,16,6:09:00,20181016,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2018-10-16T06:11:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471862,Special Ed AM Run,661,M535,Heavy Traffic,2018,10,16,6:11:00,20181016,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-16T06:11:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471875,Special Ed AM Run,1267,M601,Heavy Traffic,2018,10,16,6:13:00,20181016,Manhattan,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,Yes,Yes,No,2018-10-16T06:14:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471876,Special Ed AM Run,3103,J111,Heavy Traffic,2018,10,16,6:13:00,20181016,New Jersey,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2018-10-16T06:15:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471880,Special Ed AM Run,GT1411,Y501,Heavy Traffic,2018,10,16,6:10:00,20181016,Manhattan,"DON THOMAS BUSES, INC. (B2321)",0-15 Min,1,Yes,Yes,No,2018-10-16T06:17:00.000,2018-10-16T08:39:26.000,FALSE,School-Age
2018,1471882,Special Ed AM Run,1470,M795,Heavy Traffic,2018,10,16,6:14:00,20181016,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-16T06:17:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
