,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4
7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5
10,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5
11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
12,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6
13,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
14,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6
15,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6
16,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7
17,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7
18,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7
19,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7
20,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8
21,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8
22,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8
23,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8
24,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9
